month,month_name,oat_f,elec_kwh,gas_therms
1,Jan,33.0,8910.4,1035.8
2,Feb,34.9,8087.2,1013.5
3,Mar,45.9,9116.2,768.2
4,Apr,54.4,8398.0,383.9
5,May,64.7,9398.2,109.7
6,Jun,72.5,9686.2,16.1
7,Jul,76.1,10195.3,1.7
8,Aug,73.4,10648.8,2.2
9,Sep,68.2,9610.0,7.1
10,Oct,53.5,9135.7,107.5
11,Nov,46.1,8773.2,399.5
12,Dec,33.8,8737.0,905.2
