month,month_name,oat_f,elec_kwh,gas_therms
1,Jan,33.0,7241.6,1079.0
2,Feb,34.9,6565.5,1052.7
3,Mar,45.9,7384.6,814.5
4,Apr,54.4,6841.5,414.6
5,May,64.7,7537.2,120.9
6,Jun,72.5,7828.3,17.7
7,Jul,76.1,8446.4,1.8
8,Aug,73.4,8777.8,2.4
9,Sep,68.2,7823.1,7.5
10,Oct,53.5,7366.5,116.8
11,Nov,46.1,7111.6,435.8
12,Dec,33.8,7114.7,948.9
